"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"42",543548,"Tommy Milone","418","10.0","0.439","0.146","0.515","0.585","0.431","0.354","0.342","18","41","89.5","18.5","1961","83.9","83.78","6","40","2","-0.1","6.12","111","149","114","145","301","317","294"
"42",571800,"Drew Hutchison","751","5.6","0.350","0.400","0.345","0.750","0.459","0.378","0.313","14","40","86.7","13.7","2311","86.6","85.34","5","40","2","-1.3","5.48","108","149","110","146","294","322","295"
"42",608638,"JT Chargois","505","8.3","0.357","0.262","0.375","0.619","0.414","0.288","0.261","15","42","88.5","-0.1","2335","90.7","90.89","2","37","5","0.2","6.27","103","149","114","145","300","320","295"
"42",543506,"Brandon Maurer","667","6.3","0.425","0.475","0.500","0.900","0.526","0.386","0.323","17","40","94.8","11.4","2472","90.2","89.55","12","42","0","-0.7","5.88","114","151","111","143","298","323","298"
"42",462382,"Jim Johnson","1016","4.1","0.316","0.211","0.345","0.526","0.340","0.267","0.238","12","38","85.8","14.3","2167","88.9","87.97","6","39","3","-0.9","5.76","109","150","111","146","296","320","300"
"42",592340,"Erik Goeddel","642","6.5","0.171","0.146","0.167","0.317","0.201","0.264","0.231","7","41","88.1","9.8","1769","88.4","88.14","10","42","0","-0.3","6.06","112","159","122","148","292","322","297"
"41",594840,"Matt Grace","846","4.8","0.250","0.100","0.290","0.350","0.252","0.248","0.227","10","40","85.7","8.7","1834","88.1","87.45","9","41","0","-0.7","5.82","105","146","111","144","293","302","299"
"41",643493,"Austin Pruitt","1024","4.0","0.395","0.105","0.438","0.500","0.368","0.284","0.267","15","38","87.1","8.9","2432","87.6","85.87","5","39","2","-1.7","5.20","102","152","110","146","294","318","287"
"40",502083,"Zach McAllister","776","5.2","0.231","0.231","0.226","0.462","0.289","0.320","0.273","9","39","87.0","10.6","2290","93.6","94.66","5","39","1","1.1","6.84","107","148","109","145","290","311","285"
"40",519301,"Sammy Solis","727","5.5","0.275","0.175","0.400","0.450","0.307","0.270","0.239","11","40","91.2","17.0","2226","89.2","89.55","11","37","3","0.4","6.50","112","150","113","148","294","312","297"
"39",572750,"Eddie Butler","842","4.6","0.231","0.026","0.273","0.256","0.212","0.235","0.239","9","39","83.6","-1.6","2059","91.7","90.15","5","38","1","-1.6","5.47","112","151","108","149","304","323","290"
"39",543391,"Casey Kelly","354","11.0","0.432","0.243","0.429","0.676","0.445","0.324","0.309","16","37","92.5","18.4","2078","88.3","87.00","2","38","0","-1.3","5.50","107","148","110","146","288","312","290"
"39",608652,"Luke Farrell","595","6.6","0.205","0.256","0.238","0.462","0.278","0.288","0.222","8","39","94.2","13.8","2324","88.4","87.72","9","33","6","-0.7","5.82","117","153","114","151","305","329","308"
"39",543339,"Daniel Hudson","739","5.3","0.128","0.000","0.179","0.128","0.113","0.149","0.152","5","39","82.3","21.9","2475","92.0","91.54","9","37","2","-0.5","5.96","111","156","116","148","300","325","299"
"39",592130,"Danny Barnes","791","4.9","0.333","0.179","0.414","0.513","0.360","0.222","0.205","13","39","89.7","13.4","1892","87.1","86.06","7","37","2","-1.0","5.65","112","151","115","144","295","322","291"
"39",502004,"George Kontos","450","8.7","0.395","0.237","0.400","0.632","0.435","0.416","0.383","15","38","90.8","8.2","2377","86.1","84.93","1","38","0","-1.2","5.68","111","149","109","148","294","323","298"
"39",451661,"Josh Fields","574","6.8","0.231","0.128","0.258","0.359","0.251","0.371","0.302","9","39","93.0","27.8","2158","91.9","91.59","5","37","2","-0.3","6.05","110","154","117","148","302","326","300"
"39",605538,"Matt Wisler","606","6.4","0.282","0.179","0.313","0.462","0.314","0.409","0.355","11","39","91.4","16.1","2208","88.4","87.00","6","39","0","-1.4","5.43","105","149","112","148","294","318","295"
"39",621397,"Tyler Olson","463","8.4","0.256","0.256","0.400","0.513","0.322","0.177","0.142","10","39","88.2","6.9","2310","83.0","81.43","15","37","2","-1.6","5.29","109","152","115","149","288","311","294"
"38",621142,"Ty Buttrey","300","12.7","0.216","0.054","0.320","0.270","0.210","0.300","0.290","8","37","85.4","7.4","2015","90.5","89.36","10","36","2","-1.1","5.61","114","151","110","148","295","319","302"
"38",592815,"Sam Tuivailala","636","6.0","0.297","0.108","0.345","0.405","0.303","0.284","0.261","11","37","85.2","10.9","2237","90.6","89.98","6","37","1","-0.6","5.95","112","146","106","147","298","321","302"
"37",407822,"Jorge De La Rosa","997","3.7","0.206","0.118","0.200","0.324","0.213","0.266","0.240","7","34","84.2","12.0","1812","87.6","86.46","5","37","0","-1.1","5.51","109","146","111","148","297","324","299"
